video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=UFWzCR8HttU&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,Secretary of State Blinken delivers remarks after drone attack,84K,2 days,"ABC News is the home to the #1 evening newscast “World News Tonight” with David Muir, “Good Morning America,” “20/20,” ...",2024-02-01 10:24:45.046098
/watch?v=R7Ri_qxrXkk&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,"ABC World News Tonight Full Broadcast - Jan. 28, 2024",449K,3 days,Selina Wang has new details on the killing of three American service personnel by Iranian-backed militants in a drone strike - the ...,2024-02-01 10:24:45.048122
/watch?v=45UgKtKWrWE&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@fox26houston,FOX 26 Houston,President Biden pressured to retaliate after US soldiers are killed in attack,78K,2 days,"President Biden is facing mounting pressure to take action against Iran. Reporting from Washington, FOX's Rebekah Castor ...",2024-02-01 10:24:45.049341
/watch?v=sK3Ks5el8p0&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@WION,WION,Red Sea crisis: Houthis claim to have hit an American warship in Gulf of Aden | Gravitas,83K,2 days,Houthis claim to have fired a missile at an American warship- USS Lewis B Puller- in the Gulf of Aden. A Houthi spokesperson ...,2024-02-01 10:24:45.053262
/watch?v=NZN-sT1xHnE&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@WION,WION,Ukraine uncovers $40 million fraud in weapons procurement | World DNA | WION News,13K,3 days,Ukraine's SBU security service said on Saturday it had uncovered a corruption scheme in the purchase of arms by the country's ...,2024-02-01 10:24:45.054600
/watch?v=5rnVUHfZneE&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,E. Jean Carroll discusses what she plans to do with $83M granted in Trump defamation trial decision,92K,2 days,"ABC News is the home to the #1 evening newscast “World News Tonight” with David Muir, “Good Morning America,” “20/20,” ...",2024-02-01 10:24:45.055954
/watch?v=rehQA68FjZI&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,"ABC World News Tonight Full Broadcast - Jan. 7, 2024",358K,3 weeks,"Parts of the northeast and New England get buried under more than a foot of snow. Rob Marciano has the latest. Plus, Jaclyn Lee ...",2024-02-01 10:24:45.057935
/watch?v=_CzN2aRyO-U&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,"ABC World News Tonight Full Broadcast - Jan. 21, 2024",383K,10 days,"With two days until the New Hampshire primary, Rachel Scott reports on Florida Governor Ron DeSantis' decision to suspend his ...",2024-02-01 10:24:45.060226
/shorts/JzqAGYjVMGA,/@ABCNews,ABC News,Meta CEO Mark Zuckerberg apologizes to families of children that were victimized by social media,12K,16 hours,"ABC News is the home to the #1 evening newscast “World News Tonight” with David Muir, “Good Morning America,” “20/20,” ...",2024-02-01 10:24:45.062174
/watch?v=zmreQ-K3Oek&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@TimesNow,TIMES NOW,Zelenskyy Sold Ukraine To US Corporate? Kennedy's Nephew Adds To Russia Explosive Claim | World News,287K,13 days,"Ukraine is already opening up for big investment, and hand-rubbing has been happening over a potential business bonanza.",2024-02-01 10:24:45.063707
/watch?v=vK-b4aglcvA&pp=ygUKd29ybGQgbmV3cw%3D%3D,/@ABCNews,ABC News,"ABC World News Tonight with David Muir Full Broadcast - Dec. 27, 2023",244K,1 month,"As a massive migrant caravan heads north through Mexico to the U.S. border, Mireya Villarreal reports on the visit by top U.S. ...",2024-02-01 10:24:45.067262
