video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=aVAMUejexa0&pp=ygUMc2VhdHRsZSBuZXdz,/@komonews,KOMO News,Security guard secures rifle stolen by protester in downtown Seattle,4.9M,3 years,"During protests in downtown Seattle on Saturday, a protester pulled a patrol rifle from the back of a Seattle PD vehicle which was ...",2024-02-01 10:17:07.562909
/watch?v=p5rQbZBxcKg&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,New video shows moment man is shot and killed on Metro bus,15K,1 month,The shooting occurred on a King County Metro bus in White Center on Oct. 3.,2024-02-01 10:17:07.564150
/watch?v=P3tThqzz-Ng&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Hit-and-run collison into building causes fire in Seattle,2.4K,2 weeks,The driver in a Seattle hit-and-run crash that caused a building fire is dead and the passenger of that vehicle is in custody.,2024-02-01 10:17:07.565508
/watch?v=5HG_OlkKdDQ&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Delivery driver fatally shot in unincorporated King County,5.5K,6 days,"The body of a delivery driver was found in unincorporated King County early Thursday morning, according to the King County ...",2024-02-01 10:17:07.566867
/watch?v=_UQEI9nSiSo&pp=ygUMc2VhdHRsZSBuZXdz,/@VSKTalent-01,VSK Talent,NFL LIVE | Can he get Seattle back on track? - Swagu reacts to Seahawks hiring Mike Macdonald as HC,6.2K,13 hours,NFL LIVE | Can he get Seattle back on track? - Swagu reacts to Seahawks hiring Mike Macdonald as HC.,2024-02-01 10:17:07.571618
/watch?v=-Quq7UFp_xg&pp=ygUMc2VhdHRsZSBuZXdz,/@CBSSports,CBS Sports,NFL Head Coaching Carousel UPDATE: Seahawks & Commanders Still In SEARCH I CBS Sports,9.1K,19 hours,NFL Insider Josina Anderson joins CBS Sports HQ to break down the head coaching search for the Seahawks and Commanders.,2024-02-01 10:17:07.574679
/watch?v=2i3VgN5o3x8&pp=ygUMc2VhdHRsZSBuZXdz,/@komonews,KOMO News,Who is Mike Macdonald? What to know about the new Seahawks head coach,1K,8 hours,"So, who is Mike Macdonald, the new leader of the Seahawks? The Seahawks went from having the oldest head coach in Pete ...",2024-02-01 10:17:07.577799
/watch?v=g8OEoHiqVf4&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Seattle police investigate fatal shooting at University District apartment building,2.9K,1 month,The shooting happened Monday evening on 15th Avenue Northeast near Northeast 47th Street. First responders called to the ...,2024-02-01 10:17:07.580714
/watch?v=530_wZ81uBQ&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Here are the new Washington state laws going into effect in the New Year,21K,1 month,"Several new laws go into effect in Washington state on Jan. 1, 2024. The new laws include enhancing the state's voting rights act, ...",2024-02-01 10:17:07.583772
/watch?v=dmPO_hiR5_0&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Refugees given Tuesday deadline to leave Kent hotel,6.4K,3 days,An estimated 150-200 people have been living at Kent Quality Inn since Jan. 10. The refugees were originally staying at a church ...,2024-02-01 10:17:07.586620
/watch?v=MqxFp9RhlI0&pp=ygUMc2VhdHRsZSBuZXdz,/@SeahawksTV,Seahawks Today by Chat Sports,Seahawks News ALERT 🚨: Mike Macdonald Gets 2nd Interview For Head Coaching Position In 24 Hours,5.6K,17 hours,"Seattle Seahawks news alert, Mike Macdonald is getting a second interview for the Seattle Seahawks coaching position with GM ...",2024-02-01 10:17:07.589636
/watch?v=eCE4ae0XEv0&pp=ygUMc2VhdHRsZSBuZXdz,/@fox13seattle,FOX 13 Seattle,WSP investigating rise in freeway shootings | FOX 13 Seattle,12K,12 days,Download the FOX 13 Seattle News App: https://q13fox.onelink.me/PeGO/7e4d2af8 Download the FOX 13 Seattle Weather App: ...,2024-02-01 10:17:07.592776
/watch?v=6gQVVtHk0P8&pp=ygUMc2VhdHRsZSBuZXdz,/@KING5Seattle,KING 5 Seattle,Post-freeze spike in potholes likely in Seattle,12K,9 days,Freezing temperatures last week are leading to an increase in potholes on Seattle streets.,2024-02-01 10:17:07.595603
