video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=hVW2UDib5dI&pp=ygUHdXMgbmV3cw%3D%3D,/@FoxNews,Fox News,This case is going to ‘implode’: Leo Terrell,135K,10 hours,Civil rights attorney and Fox News contributor Leo Terrell discusses the investigation into Fulton County DA Fani Willis and ...,2024-02-01 10:22:29.150122
/watch?v=45UgKtKWrWE&pp=ygUHdXMgbmV3cw%3D%3D,/@fox26houston,FOX 26 Houston,President Biden pressured to retaliate after US soldiers are killed in attack,78K,2 days,"President Biden is facing mounting pressure to take action against Iran. Reporting from Washington, FOX's Rebekah Castor ...",2024-02-01 10:22:29.153011
/watch?v=uwG0bYYvEUE&pp=ygUHdXMgbmV3cw%3D%3D,/@wsj,The Wall Street Journal,Ukraine War Aid: Where Have U.S. Funds Gone and Why Has Support Stalled? | WSJ,517K,2 days,The political stalemate in Washington is now impairing Ukraine's efforts to repel Russia's invasion. House Republicans say they ...,2024-02-01 10:22:29.156608
/watch?v=YwXwjG9093E&pp=ygUHdXMgbmV3cw%3D%3D,/@TODAY,TODAY,Biden vows to shut down border if Congress locks immigration deal,320K,2 days,The White House and a group of senators are close to a bipartisan border security deal that includes tougher border measures ...,2024-02-01 10:22:29.160268
/watch?v=mC7eRYVfokA&pp=ygUHdXMgbmV3cw%3D%3D,/@NBCNews,NBC News,Nightly News Full Broadcast - Jan. 28,798K,3 days,"NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news ...",2024-02-01 10:22:37.960929
/watch?v=ZikQrintRjU&pp=ygUHdXMgbmV3cw%3D%3D,/@usnews,U.S. News & World Report,2014 U.S. News Best Colleges Rankings,81K,10 years,The U.S. News Best Colleges rankings are designed to help students and parents make an informed college decision. This year's ...,2024-02-01 10:22:37.967918
/watch?v=SC5H4vVwW2M&pp=ygUHdXMgbmV3cw%3D%3D,/@CNN,CNN,Fareed: Allies are nervous about the US presidential election,255K,10 days,"From Switzerland, CNN's Fareed Zakaria details the one issue everyone is talking about in Davos is the US election and why ...",2024-02-01 10:22:37.993189
/watch?v=tYRrpoq0Zac&pp=ygUHdXMgbmV3cw%3D%3D,/@livenowfox,LiveNOW from FOX,"3 US troops killed in Jordan after Iran-backed attack, Biden vows response | LiveNOW from FOX",297K,3 days,National security analyst and retired Marine Intelligence officer Hal Kempfer joins LiveNOW's Lexie Petrovic to react to the ...,2024-02-01 10:22:37.996418
/watch?v=gRTBRV2_S5Q&pp=ygUHdXMgbmV3cw%3D%3D,/@CNBCtelevision,CNBC Television,Federal Reserve Chair Jerome Powell speaks after Fed holds interest rates steady — 1/31/2024,100K,Streamed 14 hours,Federal Reserve Chairman Jerome Powell delivers remarks following the Federal Reserve's two-day policy meeting on ...,2024-02-01 10:22:38.003757
/shorts/KDo8n_7_2YI,/@USATODAY,USA TODAY,Brave woman fights off male attacker while alone at gym #Shorts,176M,11 months,A 24-year-old woman successfully fought off a male attacker while she was working out alone at her apartment's gym. The man ...,2024-02-01 10:22:38.011216
/watch?v=SlQW74FApNE&pp=ygUHdXMgbmV3cw%3D%3D,/@markets,Bloomberg Television,Pentagon: US doesn't want a wider war with Iran or in Middle East,230K,2 days,"Major General Patrick Ryder, Department of Defense Press Secretary, says ""there will be a response"" to the deadly attack on ...",2024-02-01 10:22:38.023909
/shorts/MWnTf3P0Jb0,/@AFP,AFP News Agency,Protester pours fake blood on herself at Cannes Film Festival | AFP #shorts,43M,8 months,A woman dressed in Ukrainian colours pours red liquid on herself on the steps of the Palais des Festivals during a screening of ...,2024-02-01 10:22:38.037772
/watch?v=iEJehFd4si4&pp=ygUHdXMgbmV3cw%3D%3D,/@CBCNews,CBC News,"U.S., U.K. launch two airstrikes on Yemen port, says Houthi-run television",29K,4 days,Houthi media claims that the United States and United Kingdom have launched two airstrikes targeting Yemen's main oil export ...,2024-02-01 10:22:38.053339
/watch?v=EjakIuC-ugc&pp=ygUHdXMgbmV3cw%3D%3D,/@CNN,CNN,"'We shall respond,' Biden says after US troops killed in Middle East",110K,2 days,"US President Joe Biden vowed to hold ""to account"" those responsible for a drone attack on a US outpost in Jordan, which killed ...",2024-02-01 10:22:38.056906
/watch?v=xSsY4XgcovA&pp=ygUHdXMgbmV3cw%3D%3D,/@KTLA5,KTLA 5,3 U.S. troops killed by drone strike in Jordan,77K,3 days,President Joe Biden said Sunday that the U.S. “shall respond” after three American troops were killed and dozens more were ...,2024-02-01 10:22:38.060004
/watch?v=QiRymRtzGaM&pp=ygUHdXMgbmV3cw%3D%3D,/@NBCNews,NBC News,3 U.S. soldiers killed in drone attack in Jordan,121K,3 days,"NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news ...",2024-02-01 10:22:38.063444
